	MAG	Group	RA
1	Sg_B04_2	Centenarian	0.00330417934390173
2	Sg_A27_31	Centenarian	0.00236491615405362
3	Sg_D18_45	Centenarian	0.00110178476296145
4	Sg_M12_6	Centenarian	0.00327750668847964
5	Sg_YB37_28	Centenarian	0.000631451009681247
6	Sg_A11_10	Centenarian	0.000866950241276591
7	Sg_OB03r2_39	Centenarian	0.000435534785149654
8	Sg_M02_5	Centenarian	0.000316650013342881
9	Gp_NH_148	Centenarian	0.000194474459373642
10	Sg_K36_16	Centenarian	0.00596574804131522
11	Sg_OB24r1_18	Centenarian	0.00709341904233989
12	Sg_K15_44	Centenarian	0.00145298096742667
13	Gp_MJ4_197	Centenarian	0.00027598100135496
14	Sg_B15_35	Centenarian	0.00027222211362173
15	Sg_OA11r1_9	Centenarian	0.000672302582841766
16	Sg_I06_25	Centenarian	0.000364523170064851
17	Sg_OB05r2_38	Centenarian	0.00244881003444583
18	Sg_YB41_11	Centenarian	0.000414479396576718
19	Sg_YB34_1	Centenarian	0.000292285118384648
20	Sg_K14_18	Centenarian	0.00149808762022543
21	Sg_CK05A_46	Centenarian	0.00196045889774694
22	Sg_M07_27	Centenarian	0.00247549205197934
23	Sg_OM21r1_55	Centenarian	0.00827326040922613
24	Sg_B07_53	Centenarian	0.0191230487768252
25	Sg_CK52A_43	Centenarian	0.00131197352634562
26	Sg_E06_10	Centenarian	0.0013737728237978
27	Sg_G18_1	Centenarian	0.00422934319395846
28	Sg_B26_4	Centenarian	0.000980830964531903
29	Sg_CA25_21	Centenarian	0.00234229261181862
30	Sg_K40_4	Centenarian	0.00564572766786284
31	Sg_B07_50	Centenarian	0.0025367249416909
32	Sg_CM32A_26	Centenarian	0.00266233639054954
33	Sg_CM17_7	Centenarian	0.00353487113128534
34	Sg_M07_39	Centenarian	0.00147046939155039
35	Sg_I05_27	Centenarian	0.012354560535375
36	Sg_B04_2	Elderly	0.00804935381209074
37	Sg_A27_31	Elderly	0.00760627784619609
38	Sg_D18_45	Elderly	0.00455332140001164
39	Sg_M12_6	Elderly	0.012614689141576
40	Sg_YB37_28	Elderly	0.00198382906836731
41	Sg_A11_10	Elderly	0.00228216211072622
42	Sg_OB03r2_39	Elderly	0.00134856533881219
43	Sg_M02_5	Elderly	0.00150697226395851
44	Gp_NH_148	Elderly	0.00108237008441404
45	Sg_K36_16	Elderly	0.0230884202178466
46	Sg_OB24r1_18	Elderly	0.0177600072732371
47	Sg_K15_44	Elderly	0.00422647370680968
48	Gp_MJ4_197	Elderly	0.000571486686066459
49	Sg_B15_35	Elderly	0.00409103438149286
50	Sg_OA11r1_9	Elderly	0.00116537222369395
51	Sg_I06_25	Elderly	0.000988035109265951
52	Sg_OB05r2_38	Elderly	0.00446293255482509
53	Sg_YB41_11	Elderly	0.00176339347403913
54	Sg_YB34_1	Elderly	0.000669908222847312
55	Sg_K14_18	Elderly	0.00253829543588081
56	Sg_CK05A_46	Elderly	0.00114200439360144
57	Sg_M07_27	Elderly	0.000377080102000578
58	Sg_OM21r1_55	Elderly	0.00227327278593742
59	Sg_B07_53	Elderly	0.00700034327117715
60	Sg_CK52A_43	Elderly	0.000592038861150825
61	Sg_E06_10	Elderly	0.000909337200709214
62	Sg_G18_1	Elderly	0.00182211497736354
63	Sg_B26_4	Elderly	0.000333546283919585
64	Sg_CA25_21	Elderly	0.00149717013330673
65	Sg_K40_4	Elderly	0.0020061436609256
66	Sg_B07_50	Elderly	0.000687342814830393
67	Sg_CM32A_26	Elderly	0.00220063450399421
68	Sg_CM17_7	Elderly	0.00157033503401704
69	Sg_M07_39	Elderly	0.000632581484634641
70	Sg_I05_27	Elderly	0.00590822722877982
71	Sg_B04_2	Offspring	0.00472402104603137
72	Sg_A27_31	Offspring	0.00723308562954586
73	Sg_D18_45	Offspring	0.00199156788942337
74	Sg_M12_6	Offspring	0.00892166919548653
75	Sg_YB37_28	Offspring	0.00161625619050893
76	Sg_A11_10	Offspring	0.00229387261570366
77	Sg_OB03r2_39	Offspring	0.0010247662790631
78	Sg_M02_5	Offspring	0.0011839080532169
79	Gp_NH_148	Offspring	0.000431312165946896
80	Sg_K36_16	Offspring	0.0166418105371182
81	Sg_OB24r1_18	Offspring	0.0129779031124458
82	Sg_K15_44	Offspring	0.00352290758071452
83	Gp_MJ4_197	Offspring	0.000700324917080025
84	Sg_B15_35	Offspring	0.00127305960329359
85	Sg_OA11r1_9	Offspring	0.000928727591483977
86	Sg_I06_25	Offspring	0.000985581698904824
87	Sg_OB05r2_38	Offspring	0.00331500056340266
88	Sg_YB41_11	Offspring	0.0012286205764728
89	Sg_YB34_1	Offspring	0.000462126097636503
90	Sg_K14_18	Offspring	0.00264213303085401
91	Sg_CK05A_46	Offspring	0.000570828498938519
92	Sg_M07_27	Offspring	0.0000330184787120486
93	Sg_OM21r1_55	Offspring	0.000645857687638362
94	Sg_B07_53	Offspring	0.00413344278936926
95	Sg_CK52A_43	Offspring	0.000198475534185778
96	Sg_E06_10	Offspring	0.00313349838373552
97	Sg_G18_1	Offspring	0.00223208728467999
98	Sg_B26_4	Offspring	0.00071566558075874
99	Sg_CA25_21	Offspring	0.000817704614368866
100	Sg_K40_4	Offspring	0.000893811213267647
101	Sg_B07_50	Offspring	0.0000709847565684478
102	Sg_CM32A_26	Offspring	0.00118926195312855
103	Sg_CM17_7	Offspring	0.000678254583543332
104	Sg_M07_39	Offspring	0.000390204822972056
105	Sg_I05_27	Offspring	0.00240122411037162
106	Sg_B04_2	Young	0.0188132827240059
107	Sg_A27_31	Young	0.0145482812641215
108	Sg_D18_45	Young	0.00795080134978256
109	Sg_M12_6	Young	0.0174975278408597
110	Sg_YB37_28	Young	0.00317053145860423
111	Sg_A11_10	Young	0.00260037541663484
112	Sg_OB03r2_39	Young	0.00334830758404136
113	Sg_M02_5	Young	0.00230352187594451
114	Gp_NH_148	Young	0.000680475706107295
115	Sg_K36_16	Young	0.061356796535975
116	Sg_OB24r1_18	Young	0.0205379530288986
117	Sg_K15_44	Young	0.0108488780823045
118	Gp_MJ4_197	Young	0.00542230015877507
